hicolor-icon-theme 0.17-2
hidapi 0.11.2-1
htop 3.1.2-1
hunspell 1.7.0-3
hwdata 0.357-1
hwloc 2.7.1-1
hyphen 2.8.8-3
iana-etc 20220205-1
icu 70.1-1
ijs 0.35-3
imagemagick 7.1.0.29-1
imath 3.1.5-1
imlib2 1.8.1-1
iniparser 4.1-4
inkscape 1.1.2-2
intel-gpu-tools 1.26-1
intel-ucode 20220207-1
iproute2 5.17.0-1
iptables 1:1.8.7-1
iputils 20211215-1
iso-codes 4.9.0-1
jack2 1.9.20-4
jansson 2.14-1
jasper 2.0.33-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk-openjdk 17.0.3.u3-1
jemalloc 1:5.2.1-6
jre-openjdk 17.0.3.u3-1
jre-openjdk-headless 17.0.3.u3-1
js78 78.15.0-4
json-c 0.15-3
json-glib 1.6.6-2
jsoncpp 1.9.5-1
kaccounts-integration 21.12.3-1
kactivities 5.92.0-1
kactivities-stats 5.92.0-1
kactivitymanagerd 5.24.4-1
karchive 5.92.0-1
kauth 5.92.0-1
kbd 2.4.0-2
kbookmarks 5.92.0-1
kcmutils 5.92.0-1
kcodecs 5.92.0-1
kcolorpicker 0.1.6-1
kcompletion 5.92.0-1
kconfig 5.92.0-1
kconfigwidgets 5.92.0-1
kcoreaddons 5.92.0-1
kcrash 5.92.0-1
kdbusaddons 5.92.0-1
kde-cli-tools 5.24.4-1
kdeclarative 5.92.0-1
kdecoration 5.24.4-1
kded 5.92.0-1
kdesu 5.92.0-1
kdnssd 5.92.0-1
kdsoap 2.0.0-1
kdsoap-ws-discovery-client git20200927-2
keyutils 1.6.3-1
kglobalaccel 5.92.0-1
kguiaddons 5.92.0-1
kholidays 1:5.92.0-1
ki18n 5.92.0-1
kiconthemes 5.92.0-1
kidletime 5.92.0-1
kimageannotator 0.5.3-2
kinit 5.92.0-1
kio 5.92.0-1
kio-extras 21.12.3-1
kio-fuse 5.0.1-1
kirigami2 5.92.0-1
kitemmodels 5.92.0-1
kitemviews 5.92.0-1
kitty 0.24.4-1
kitty-shell-integration 0.24.4-1
kitty-terminfo 0.24.4-1
kjobwidgets 5.92.0-1
kjs 5.92.0-1
kmod 29-2
knewstuff 5.92.0-2
knotifications 5.92.0-1
knotifyconfig 5.92.0-1
kpackage 5.92.0-1
kparts 5.92.0-1
